title,brand,platform,url,price,price_usd,currency,ram_gb,ram_cat,storage_gb,storage_cat,price_range,gamme_finale,cluster_kmeans,cluster_kmeans_label,cluster_dbscan,is_anomaly,is_anomaly_soft,anomaly_type,anomaly_score,iso_score,lof_score,pca_x,pca_y,category,search_query,scraped_date
"10.95-inch 2-in-1 Laptop, 12th Gen Intel Core i5-1250P, Touch Screen, Type-C Charging Port, Windows 11 – Slim & Lightweight",Other,aliexpress,https://www.aliexpress.com/item/1005009511932959.html,5496.09,549.61,MAD,,inconnu,,inconnu,bas_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.0475659220599358,-0.3925611851202527,1.0203177492723088,-0.6632666922901469,-0.6402995868254877,electronics,laptop,2026-05-13
2024 Xiaomi Redmi Book Pro 14 Laptop 14 Inch 2.8K 120Hz Ultra Retina Screen Notebook Ultra 5-125H 16GB 512GB Intel ARC Graphics,Xiaomi,aliexpress,https://www.aliexpress.com/item/1005011681460679.html,8527.71,852.77,MAD,16.0,16Go,512.0,512Go,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,0,0,0,normal,0.0841517418338502,-0.4173264558075065,1.017909618741012,-1.3445918990862875,0.1746584560207293,electronics,laptop,2026-05-13
2026 MSI Raider 16 Max HX Gaming Laptop 16 Inch 2.5K 240Hz IPS Screen Netbook Ultra 9-285HX 32GB 1TB RTX5070Ti Notebook Computer,MSI,aliexpress,https://www.aliexpress.com/item/1005012092805472.html,37022.06,3702.21,MAD,32.0,>=32Go,1024.0,1To,haut_de_gamme,haut_de_gamme,2,haut_de_gamme,-1,0,1,normal,0.5835520002165485,-0.5489735869726372,1.902824316027636,1.539665447861924,2.0016802564540828,electronics,laptop,2026-05-13
2024 HUAWEI MateBook X Pro Laptop Inter Core Ultra9 185H/Ultra7 155H 32/16GB 2/1TB Netbook 14.2inch 3.1k Touchscreen 120Hz OLED,Huawei,aliexpress,https://www.aliexpress.com/item/1005006843407588.html,22258.02,2225.8,MAD,16.0,16Go,1024.0,1To,haut_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.2636631591399504,-0.4745300568854869,1.292052083368461,-0.0180375820392195,0.9562315360085994,electronics,laptop,2026-05-13
2023 HUAWEI MateBook 14 Laptop 14-inch 2K Touchscreen i5-1340P/i7-1360P 16GB/32GB 512GB/1T Computer Netbook Iris Xe Graphics SSD,Huawei,aliexpress,https://www.aliexpress.com/item/1005011906726641.html,9822.2,982.22,MAD,16.0,16Go,512.0,512Go,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,0,0,0,normal,0.0916941588051495,-0.4223203382370432,1.017909618741012,-1.2791074073837303,0.2922466512498685,electronics,laptop,2026-05-13
Lenovo Xiaoxin 13 Air 2025 Laptop AMD R7 7735HS Integrated Graphics 16GB 512GB 13.3inch 100% sRGB Screen Thin and Light Laptop,Lenovo,aliexpress,https://www.aliexpress.com/item/1005011616701193.html,9091.9,909.19,MAD,16.0,16Go,512.0,512Go,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,0,0,0,normal,0.0800748054005893,-0.4146270901667746,1.017909618741012,-1.316051164608875,0.2259080476485735,electronics,laptop,2026-05-13
2024 Acer ordinary Go Princess Laptop 14 Inch 2.8K 120Hz IPS Screen Netbook i5-13420H 16GB 1TB Notebook With Intel lris Xe,Acer,aliexpress,https://www.aliexpress.com/item/1005011599928079.html,7421.66,742.17,MAD,16.0,16Go,1024.0,1To,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.0646404930630289,-0.4062858735166018,1.0095591569650626,-0.7685659702972638,-0.3914658553731714,electronics,laptop,2026-05-13
2025 Acer Predator Helios 9 Neo S Gaming Laptop 16 Inch 2.5K OLED 240Hz Screen Notebook Ultra 9-275HX 32GB 2TB RTX5070 Netbook,Acer,aliexpress,https://www.aliexpress.com/item/1005011666988455.html,19856.04,1985.6,MAD,32.0,>=32Go,2048.0,>1To,haut_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.4894911817706473,-0.5205000281563971,1.7525080533048318,1.9352418980125616,-0.4889446105696153,electronics,laptop,2026-05-13
2025 Xiaomi REDMI Book 14 Laptop 14 Inch FHD 60Hz Screen Notebook i5-13420H 16GB 512GB Netbook Computer With Intel UHD Graphics,Xiaomi,aliexpress,https://www.aliexpress.com/item/1005011682286826.html,6914.3,691.43,MAD,16.0,16Go,512.0,512Go,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,0,0,0,normal,0.1043526355154971,-0.430701596482119,1.017909618741012,-1.4262096278890002,0.0281003751822177,electronics,laptop,2026-05-13
2025 Acer Nitro 7 Gaming Laptop 16 Inch 2.5K 240Hz Screen Notebook Intel Core Ultra 9-275HX 32GB 1TB RTX5060 Netbook Computer PC,Acer,aliexpress,https://www.aliexpress.com/item/1005012246261097.html,17757.6,1775.76,MAD,32.0,>=32Go,1024.0,1To,haut_de_gamme,bas_de_gamme,1,bas_de_gamme,1,0,0,normal,0.1032497485885825,-0.4129308179090558,1.0936822503281147,0.5651323336437764,0.2517454686504393,electronics,laptop,2026-05-13
12th Generation Mini Laptop Intel N95 Quad-Core 8-inch Touch Screen Type-C Charging Port for Office and Entertainment Portable,Other,aliexpress,https://www.aliexpress.com/item/1005008627449209.html,4322.25,432.22,MAD,,inconnu,,inconnu,bas_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.0623037861527713,-0.3988544589992397,1.035724175918778,-0.722647850692398,-0.7469282414213304,electronics,laptop,2026-05-13
Xiaomi Laptop REDMI Book Pro 16 2026 Ultra5-338H/UltraX7-358H/32GB+1TB 16inch 3.2K 165Hz Screen,Xiaomi,aliexpress,https://www.aliexpress.com/item/1005012170698498.html,16094.21,1609.42,MAD,32.0,>=32Go,1024.0,1To,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,1,0,0,normal,0.0812009571831562,-0.4041222494363561,1.067936052282556,0.4809862617134276,0.1006473311119512,electronics,laptop,2026-05-13
New AMD Ryzen AI Max+395 One XPlayer Super X 14-Inch 2.8K AMOLED 60/120HZ display Gaming tablet-laptop hybrid Fingerprint unlock,Other,aliexpress,https://www.aliexpress.com/item/1005011574754184.html,29942.36,2994.24,MAD,,inconnu,,inconnu,haut_de_gamme,haut_de_gamme,2,haut_de_gamme,-1,0,0,normal,0.4277467121785228,-0.5043841223313937,1.64238559689773,0.5733991490631889,1.5803377061503123,electronics,laptop,2026-05-13
"2026 NAIWO 14.1"" Ultra Slim Laptop Intel 4405U IPS Office Computer 16GB DDR3 1TB 2TB SSD Study Laptop M.2 Windows 11 Notebook PC",Other,aliexpress,https://www.aliexpress.com/item/1005011990071645.html,2602.93,260.29,MAD,16.0,16Go,2048.0,>1To,bas_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,1,normal,0.8045081166035926,-0.6207177892612258,2.2343288959469083,0.2516240416067059,-1.7604941499468738,electronics,laptop,2026-05-13
CRELANDER Mini Laptops 14 Inch 2240*1440 Double Touch Screen Intel Processor Foldable Tablet PC Windows11 Dual Screen Laptop,Other,aliexpress,https://www.aliexpress.com/item/1005007766607257.html,5142.04,514.2,MAD,,inconnu,,inconnu,bas_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.0510456974012975,-0.3938289968673805,1.0249251889484707,-0.6811770541216715,-0.672460592720378,electronics,laptop,2026-05-13
2026 Xiaomi REDMI Book Pro 16 Laptop 16inch 3.2K 165Hz Screen Netbook Ultra 5/Ultra X7 24G/32G+1T Notebook With Intel Graphics,Xiaomi,aliexpress,https://www.aliexpress.com/item/1005012249649136.html,14039.09,1403.91,MAD,24.0,>=32Go,,inconnu,milieu_de_gamme,milieu_de_gamme,0,milieu_de_gamme,-1,0,0,normal,0.0896331656395942,-0.423349610475122,1.0072650239032177,-0.0283928441413973,0.0618050844367072,electronics,laptop,2026-05-13
2024 HUAWEI MateBook GT 14 Laptop Ultra 9-185H/Ultra 7-155/Ultra 5-125 Notebook 14.2-inch 2.8K OLED Touchscreen 140W Hi GT Cube,Huawei,aliexpress,https://www.aliexpress.com/item/1005010740081461.html,14131.86,1413.19,MAD,,inconnu,,inconnu,milieu_de_gamme,milieu_de_gamme,0,milieu_de_gamme,-1,0,0,normal,0.014199636744489,-0.3871904156023357,0.9459648708242272,-0.2264081542479876,0.1441519027294271,electronics,laptop,2026-05-13
2022 HUAWEI MateBook D 14 Laptop 14 Inch Screen Notebook i5-1240P/i7-1260P 16GB 512GB Netbook With Iris Xe Graphics Card,Huawei,aliexpress,https://www.aliexpress.com/item/1005009086188054.html,7949.6,794.96,MAD,16.0,16Go,512.0,512Go,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,0,0,0,normal,0.0864491079328469,-0.4188475565686617,1.017909618741012,-1.3738368059593926,0.1221444068245846,electronics,laptop,2026-05-13
Honor Laptop MagicBook Art 14 2025 14.6-inch OLED touchscreen 2nd Gen Core Ultra5/Ultra7 32GB 1TB/2TB 120Hz 3.1K Laptop,Honor,aliexpress,https://www.aliexpress.com/item/1005010131696284.html,19547.05,1954.7,MAD,32.0,>=32Go,2048.0,>1To,haut_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.4757705913938101,-0.5120177833949028,1.7498301031781434,1.9196109907895065,-0.5170124801119462,electronics,laptop,2026-05-13
Honor MagicBook Pro 14 2026 14.6-inch 3.1K OLED Touchscreen Ultra U5-338H/Ultra X7-358H/Ultra X9-388H 32GB 1TB/2TB Laptop,Honor,aliexpress,https://www.aliexpress.com/item/1005012240752681.html,17047.3,1704.73,MAD,32.0,>=32Go,2048.0,>1To,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.4735126330838082,-0.5121412251039754,1.742633490436545,1.793155894084651,-0.7440834432125033,electronics,laptop,2026-05-13
2023 HUAWEI MateBook 13s i5-12500H/i7-12700H 16GB 512GB 13.4-inch 2.5K 90Hz Touchscreens SSD Intel Iris Xe Graphics WiFi6,Huawei,aliexpress,https://www.aliexpress.com/item/1005011773260307.html,11952.24,1195.22,MAD,16.0,16Go,512.0,512Go,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,0,0,0,normal,0.1368393500237961,-0.4489105469781473,1.0325865819622035,-1.1713548664555535,0.4857340936911968,electronics,laptop,2026-05-13
2026 Xiaomi REDMI Book Pro 14 Laptop 14inch 2.8K 120Hz Screen Netbook Ultra 5/Ultra X7 24G/32G+1T Notebook With Intel Graphics,Xiaomi,aliexpress,https://www.aliexpress.com/item/1005012252714998.html,13679.58,1367.96,MAD,24.0,>=32Go,,inconnu,milieu_de_gamme,milieu_de_gamme,0,milieu_de_gamme,-1,0,0,normal,0.0895851397321984,-0.4237064993711842,1.005536684823644,-0.0465794115246806,0.0291481059611471,electronics,laptop,2026-05-13
"New HONOR 1kg Laptop MagicBook Art 14 2024 14.6""Inch 3.1K 120Hz OLED Touchscreen Intel Ultra 5 7 Computer PC Notebook Ultrabook",Honor,aliexpress,https://www.aliexpress.com/item/1005008405353863.html,13751.69,1375.17,MAD,,inconnu,,inconnu,milieu_de_gamme,milieu_de_gamme,0,milieu_de_gamme,-1,0,0,normal,0.0065030548090714,-0.3844641180520893,0.9354279305002192,-0.245639851063383,0.1096182221445931,electronics,laptop,2026-05-13
