title,brand,price,price_usd,currency,platform,ram_gb,storage_gb,category,search_query,url,scraped_date,price_range
2025 Acer Nitro 7 Gaming Laptop 16 Inch 2.5K 240Hz Screen Notebook Intel Core Ultra 9-275HX 32GB 1TB RTX5060 Netbook Computer PC,Acer,17757.6,1775.76,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012246261097.html,2026-05-13,haut_de_gamme
12th Generation Mini Laptop Intel N95 Quad-Core 8-inch Touch Screen Type-C Charging Port for Office and Entertainment Portable,Other,4322.25,432.22,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005008627449209.html,2026-05-13,bas_de_gamme
Xiaomi Laptop REDMI Book Pro 16 2026 Ultra5-338H/UltraX7-358H/32GB+1TB 16inch 3.2K 165Hz Screen,Xiaomi,16094.21,1609.42,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012170698498.html,2026-05-13,milieu_de_gamme
New AMD Ryzen AI Max+395 One XPlayer Super X 14-Inch 2.8K AMOLED 60/120HZ display Gaming tablet-laptop hybrid Fingerprint unlock,Other,29942.36,2994.24,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005011574754184.html,2026-05-13,haut_de_gamme
"2026 NAIWO 14.1"" Ultra Slim Laptop Intel 4405U IPS Office Computer 16GB DDR3 1TB 2TB SSD Study Laptop M.2 Windows 11 Notebook PC",Other,2602.93,260.29,MAD,aliexpress,16.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005011990071645.html,2026-05-13,bas_de_gamme
CRELANDER Mini Laptops 14 Inch 2240*1440 Double Touch Screen Intel Processor Foldable Tablet PC Windows11 Dual Screen Laptop,Other,5142.04,514.2,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005007766607257.html,2026-05-13,bas_de_gamme
2026 Xiaomi REDMI Book Pro 16 Laptop 16inch 3.2K 165Hz Screen Netbook Ultra 5/Ultra X7 24G/32G+1T Notebook With Intel Graphics,Xiaomi,14039.09,1403.91,MAD,aliexpress,24.0,,electronics,laptop,https://www.aliexpress.com/item/1005012249649136.html,2026-05-13,milieu_de_gamme
2024 HUAWEI MateBook GT 14 Laptop Ultra 9-185H/Ultra 7-155/Ultra 5-125 Notebook 14.2-inch 2.8K OLED Touchscreen 140W Hi GT Cube,Huawei,14131.86,1413.19,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005010740081461.html,2026-05-13,milieu_de_gamme
2022 HUAWEI MateBook D 14 Laptop 14 Inch Screen Notebook i5-1240P/i7-1260P 16GB 512GB Netbook With Iris Xe Graphics Card,Huawei,7949.6,794.96,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005009086188054.html,2026-05-13,milieu_de_gamme
Honor Laptop MagicBook Art 14 2025 14.6-inch OLED touchscreen 2nd Gen Core Ultra5/Ultra7 32GB 1TB/2TB 120Hz 3.1K Laptop,Honor,19547.05,1954.7,MAD,aliexpress,32.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005010131696284.html,2026-05-13,haut_de_gamme
Honor MagicBook Pro 14 2026 14.6-inch 3.1K OLED Touchscreen Ultra U5-338H/Ultra X7-358H/Ultra X9-388H 32GB 1TB/2TB Laptop,Honor,17047.3,1704.73,MAD,aliexpress,32.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005012240752681.html,2026-05-13,milieu_de_gamme
2023 HUAWEI MateBook 13s i5-12500H/i7-12700H 16GB 512GB 13.4-inch 2.5K 90Hz Touchscreens SSD Intel Iris Xe Graphics WiFi6,Huawei,11952.24,1195.22,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011773260307.html,2026-05-13,milieu_de_gamme
2026 Xiaomi REDMI Book Pro 14 Laptop 14inch 2.8K 120Hz Screen Netbook Ultra 5/Ultra X7 24G/32G+1T Notebook With Intel Graphics,Xiaomi,13679.58,1367.96,MAD,aliexpress,24.0,,electronics,laptop,https://www.aliexpress.com/item/1005012252714998.html,2026-05-13,milieu_de_gamme
"New HONOR 1kg Laptop MagicBook Art 14 2024 14.6""Inch 3.1K 120Hz OLED Touchscreen Intel Ultra 5 7 Computer PC Notebook Ultrabook",Honor,13751.69,1375.17,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005008405353863.html,2026-05-13,milieu_de_gamme
